award_year,category,prize,prize_share,laureate_id,laureate_type,full_name,birth_year,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_year,death_city,death_country
1935,Chemistry,The Nobel Prize in Chemistry 1935,2-Jan,193,Individual,Frédéric Joliot,1900,Paris,France,Male,Institut du Radium,Paris,France,1958,Paris,France
1945,Physics,The Nobel Prize in Physics 1945,1-Jan,50,Individual,Wolfgang Pauli,1900,Vienna,Austria,Male,Princeton University,"""Princeton, NJ""",United States of America,1958,Zurich,Switzerland
1938,Chemistry,The Nobel Prize in Chemistry 1938,1-Jan,198,Individual,Richard Kuhn,1900,Vienna,Austria-Hungary (Austria),Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany,1967,Heidelberg,West Germany (Germany)
1963,Literature,The Nobel Prize in Literature 1963,1-Jan,635,Individual,Giorgos Seferis,1900,Smyrna (Izmir),Ottoman Empire (Turkey),Male,null,null,null,1971,Athens,Greece
1974,Literature,The Nobel Prize in Literature 1974,2-Jan,649,Individual,Eyvind Johnson,1900,Svartbjörnsbyn,Sweden,Male,null,null,null,1976,Stockholm,Sweden
1971,Physics,The Nobel Prize in Physics 1971,1-Jan,93,Individual,Dennis Gabor,1900,Budapest,Hungary,Male,Imperial College,London,United Kingdom,1979,London,United Kingdom
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,2-Jan,354,Individual,Hans Adolf Krebs,1900,Hildesheim,Germany,Male,Sheffield University,Sheffield,United Kingdom,1981,Oxford,United Kingdom
1967,Medicine,The Nobel Prize in Physiology or Medicine 1967,3-Jan,385,Individual,Ragnar Granit,1900,Helsinki,Russian Empire (Finland),Male,Karolinska Institutet,Stockholm,Sweden,1991,Stockholm,Sweden
1938,Physics,The Nobel Prize in Physics 1938,1-Jan,46,Individual,Enrico Fermi,1901,Rome,Italy,Male,Rome University,Rome,Italy,1954,"""Chicago, IL""",United States of America
1939,Physics,The Nobel Prize in Physics 1939,1-Jan,47,Individual,Ernest Orlando Lawrence,1901,"""Canton, SD""",United States of America,Male,University of California,"""Berkeley, CA""",United States of America,1958,"""Palo Alto, CA""",United States of America
1959,Literature,The Nobel Prize in Literature 1959,1-Jan,630,Individual,Salvatore Quasimodo,1901,Modica,Italy,Male,null,null,null,1968,Naples,Italy
1974,Peace,The Nobel Peace Prize 1974,2-Jan,533,Individual,Eisaku Sato,1901,Tabuse,Japan,Male,null,null,null,1975,Tokyo,Japan
1932,Physics,The Nobel Prize in Physics 1932,1-Jan,38,Individual,Werner Karl Heisenberg,1901,Würzburg,Germany,Male,Leipzig University,Leipzig,Germany,1976,Munich,West Germany (Germany)
1955,Chemistry,The Nobel Prize in Chemistry 1955,1-Jan,218,Individual,Vincent du Vigneaud,1901,"""Chicago, IL""",United States of America,Male,Cornell University,"""Ithaca, NY""",United States of America,1978,"""White Plains, NY""",United States of America
1971,Economics,The Sveriges Riksbank Prize in Economic Sciences 1971,1-Jan,680,Individual,Simon Kuznets,1901,Pinsk,Russian Empire (Belarus),Male,Harvard University,"""Cambridge, MA""",United States of America,1985,"""Cambridge, MA""",United States of America
1984,Literature,The Nobel Prize in Literature 1984,1-Jan,661,Individual,Jaroslav Seifert,1901,Prague,Austria-Hungary (Czech Republic),Male,null,null,null,1986,Prague,Czechoslovakia
1954,Chemistry,The Nobel Prize in Chemistry 1954,1-Jan,217,Individual,Linus Carl Pauling,1901,"""Portland, OR""",United States of America,Male,California Institute of Technology (Caltech),"""Pasadena, CA""",United States of America,1994,"""Big Sur, CA""",United States of America
1962,Peace,The Nobel Peace Prize 1962,1-Jan,217,Individual,Linus Carl Pauling,1901,"""Portland, OR""",United States of America,Male,California Institute of Technology (Caltech),"""Pasadena, CA""",United States of America,1994,"""Big Sur, CA""",United States of America
1966,Medicine,The Nobel Prize in Physiology or Medicine 1966,2-Jan,384,Individual,Charles Brenton Huggins,1901,Halifax,Canada,Male,"""University of Chicago, Ben May Laboratory for Cancer Research""","""Chicago, IL""",United States of America,1997,"""Chicago, IL""",United States of America
1950,Chemistry,The Nobel Prize in Chemistry 1950,2-Jan,211,Individual,Kurt Alder,1902,Königshütte (Chorzów),Prussia (Poland),Male,Cologne University,Cologne,Federal Republic of Germany,1958,Cologne,West Germany (Germany)
